id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,111989.0,2233159270806,1,2233159270806,77851621638,113537.0,111088.0,104.74,0.09361,2666023221.0,0.11953,19934406.0,19934406.0,21000000.0,126080.0,-11.1431,2025-10-06T18:57:42.558Z,67.81,165115.0585,2013-07-06T00:00:00.000Z,,2025-10-15T14:30:46.673Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,4081.73,493364016013,2,493364016013,52114599123,4203.8,3961.18,109.31,2.75161,13165077906.0,2.74159,120698861.7836749,120698861.7836749,,4946.05,-17.35548,2025-08-24T19:21:03.333Z,0.432979,943973.33393,2015-10-20T00:00:00.000Z,"{'times': 47.72456566955935, 'currency': 'btc', 'percentage': 4772.456566955935}",2025-10-15T14:30:44.323Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,180794558505,3,180794558505,148178856592,1.001,1.001,-5.4521354134307e-05,-0.00545,599802510.0,0.33286,180609635559.6633,180609635559.6633,,1.32,-24.35085,2018-07-24T00:00:00.000Z,0.572521,74.82508,2015-03-02T00:00:00.000Z,,2025-10-15T14:30:51.292Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,1182.9,164509378257,4,164509378257,6098309537,1237.69,1168.89,-5.3430448905978665,-0.44966,-968111939.3651123,-0.58504,139181368.18,139181351.3299999,200000000.0,1369.99,-13.59788,2025-10-13T08:41:24.131Z,0.0398177,2972703.1495,2017-10-19T00:00:00.000Z,,2025-10-15T14:30:43.678Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.5,149915432872,5,250173597664,5348161955,2.54,2.44,0.051554,2.1045,2949175647.0,2.0067,59916045245.0,99985787384.0,100000000000.0,3.65,-31.27911,2025-07-18T03:40:53.808Z,0.00268621,93184.83364,2014-05-22T00:00:00.000Z,,2025-10-15T14:30:49.529Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,203.23,111488332493,6,124777397902,10791454635,207.6,195.17,5.23,2.64315,3065121563.0,2.827,546701594.0081869,611866681.4854261,,293.31,-30.4456,2025-01-19T11:15:27.957Z,0.500801,40636.99727,2020-05-11T19:35:23.449Z,,2025-10-15T14:30:49.896Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999903,76168254067,7,76219427387,14160582446,0.999999,0.99964,7.37337e-07,7e-05,414832231.0,0.54761,76175573507.87791,76193019721.82726,,1.17,-14.73533,2019-05-08T00:40:28.300Z,0.877647,13.93014,2023-03-11T08:02:13.981Z,,2025-10-15T14:30:51.710Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,4079.18,34696532403,8,34697510161,77516940,4198.25,3958.0,103.29,2.59795,797307172.0,2.35199,8490606.78971379,8490846.057522433,,4932.89,-17.22573,2025-08-24T19:21:31.902Z,482.9,745.55783,2020-12-22T04:08:21.854Z,,2025-10-15T14:30:49.677Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.202631,30664464290,9,30670022372,3030399166,0.207423,0.198471,0.00249752,1.24792,376349405.0,1.24256,151333896383.7052,151361566383.7052,,0.731578,-72.27678,2021-05-08T05:08:23.458Z,8.69e-05,233281.1759,2015-05-06T00:00:00.000Z,,2025-10-15T14:30:55.360Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.317277,30057070985,10,30057065917,1032585137,0.3209,0.311004,0.00539777,1.73073,542113601.0,1.83674,94666060082.12671,94665954297.4465,,0.431288,-26.33364,2024-12-04T00:10:40.323Z,0.00180434,17508.32955,2017-11-12T00:00:00.000Z,"{'times': 165.98773020610858, 'currency': 'usd', 'percentage': 16598.773020610857}",2025-10-15T14:30:51.865Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.690915,25262776761,11,31101214613,1561864919,0.711689,0.675682,0.01040827,1.52949,423908413.0,1.70663,36552429492.24524,45000000000.0,45000000000.0,3.09,-77.5536,2021-09-02T06:00:10.474Z,0.01925275,3498.96873,2020-03-13T02:22:55.044Z,,2025-10-15T14:30:54.510Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4968.75,15902191476,12,15902281280,17490312,5108.18,4816.85,142.16,2.94524,404180442.0,2.60795,3198631.43761043,3198649.501192665,,7256.02,-31.54084,2022-05-13T15:09:54.509Z,558.54,789.35611,2022-05-13T01:36:45.053Z,,2025-10-15T14:30:53.794Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,4401.78,14368675834,13,14368675834,24779028,4530.57,4266.63,120.47,2.81385,428618187.0,3.07472,3264280.327737175,3264280.327737175,,5330.78,-17.28461,2025-08-24T19:27:46.809Z,1501.6,193.64497,2025-04-09T03:57:40.245Z,,2025-10-15T14:30:51.638Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,112039.0,14204096591,14,14204096591,350919291,113494.0,111277.0,503.87,0.45176,39904865.0,0.28173,126998.55811131,126998.55811131,126998.55811131,125932.0,-11.10866,2025-10-06T18:55:19.650Z,3139.17,3465.98953,2019-04-02T00:00:00.000Z,,2025-10-15T14:30:52.132Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,18.62,12980066705,15,18626773704,1052419325,19.22,18.42,-0.009771058295832802,-0.05245,-8828682.62361908,-0.06797,696849970.4525868,1000000000.0,1000000000.0,52.7,-64.57361,2021-05-10T00:13:57.214Z,0.148183,12498.25909,2017-11-29T00:00:00.000Z,,2025-10-15T14:30:55.150Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,0.991815,12933178142,16,12933178142,6291501,1.0,0.991161,-0.008185600000000015,-0.81856,-53323850.2431488,-0.41061,13039907174.258,13039907174.258,,1.062,-6.60278,2025-09-29T13:45:20.512Z,0.883674,12.23769,2025-09-06T20:28:04.023Z,,2025-10-15T12:47:31.234Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.0,12481882509,17,12481882509,407442148,1.002,0.997381,0.00068469,0.0685,-41977817.33644867,-0.33518,12476064602.82613,12476064602.82613,,1.032,-3.09024,2023-12-20T15:38:34.596Z,0.929486,7.6066,2024-10-04T07:57:15.809Z,,2025-10-15T14:30:55.559Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,4408.63,10940993311,18,10942111969,18793351,4534.23,4270.73,127.51,2.97836,355606353.0,3.35941,2481353.260249902,2481606.965422387,,5296.78,-16.7554,2025-08-24T19:25:19.771Z,1505.24,192.92991,2025-04-09T03:45:31.391Z,,2025-10-15T14:30:51.694Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,39.8,10777553075,19,39796349967,642806930,41.05,38.48,0.956647,2.46265,247865422.0,2.35397,270772999.4341414,999835210.4341414,1000000000.0,59.3,-32.88385,2025-09-18T03:30:30.650Z,3.81,945.0261,2024-11-29T09:30:30.871Z,,2025-10-15T14:30:56.613Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.335271,10726364734,20,16760678992,255001852,0.341823,0.326821,0.0071937,2.19268,219141730.0,2.08563,31999741999.90151,50001786884.69562,50001786884.69562,0.875563,-61.64117,2018-01-03T00:00:00.000Z,0.00047612,70439.63803,2015-03-05T00:00:00.000Z,,2025-10-15T14:30:50.320Z
